101|1|-1|1|Ali|3130373132051
101|2|-1|0||
101|3|-1|0||
101|4|-1|0||
101|5|-1|0||
101|6|-1|0||
101|7|-1|0||
101|8|-1|0||
101|9|-1|0||
101|10|-1|0||
101|11|-1|0||
101|12|-1|0||
101|13|-1|0||
101|14|-1|0||
101|15|-1|0||
101|16|-1|0||
101|17|-1|0||
101|18|-1|0||
101|19|-1|0||
101|20|-1|0||
101|21|-1|0||
101|22|-1|0||
101|23|-1|0||
101|24|-1|0||
101|25|-1|0||
101|26|-1|0||
101|27|-1|0||
101|28|-1|0||
101|29|-1|0||
101|30|-1|0||
101|31|-1|0||
101|32|-1|0||
101|33|-1|0||
101|34|-1|0||
101|35|-1|0||
101|36|-1|0||
101|37|-1|0||
101|38|-1|0||
101|39|-1|0||
101|40|-1|0||
